以下のJava8においては以下の9つ,
インタフェース, Predicate<T>より付加価値があるか
java.nio.file.DirectoryStream.Filter<T>, 有る。IOExceptionスローできる。
javax.xml.stream.EventFilter, 無い。
java.io.FileFilter, 無い。
java.io.FileNameFilter, 有る。引数が異なるのでPredicateと異なる利用シーンが想定されている。
java.util.logging.Filter, 無い。
org.w3c.dom.ls.LSSerializerFilter, 有る。引数が異なるのでPredicateと異なる利用シーンが想定されている。
javax.management.NotificationFilter, 無い。
javax.imageio.spi.ServiceRegistry.Filter, 無い。
java.xml.stream.StreamFilter, 無い。
